close,date,minute
10437.65,2017-08-02,09:58:00
10438.15,2017-08-02,09:59:00
10436.75,2017-08-02,10:00:00
10434.7,2017-08-02,10:01:00
10434.2,2017-08-02,10:02:00
10434.8,2017-08-02,10:03:00
10436.75,2017-08-02,10:04:00
10437.55,2017-08-02,10:05:00
10437.35,2017-08-02,10:06:00
10435.15,2017-08-02,10:07:00
10434.35,2017-08-02,10:08:00
10435.7,2017-08-02,10:09:00
10435.5,2017-08-02,10:10:00
10435.3,2017-08-02,10:11:00
10435.8,2017-08-02,10:12:00
10436.5,2017-08-02,10:13:00
10434.9,2017-08-02,10:14:00
10400.5,2017-08-03,09:15:00
10398.45,2017-08-03,09:16:00
10401.0,2017-08-03,09:17:00
10402.75,2017-08-03,09:18:00
10397.75,2017-08-03,09:19:00
10392.65,2017-08-03,09:20:00
10392.15,2017-08-03,09:21:00
10388.3,2017-08-03,09:22:00
10381.15,2017-08-03,09:23:00
10383.75,2017-08-03,09:24:00
10389.5,2017-08-03,09:25:00
10391.15,2017-08-03,09:26:00
10396.85,2017-08-03,09:27:00
10395.75,2017-08-03,09:28:00
10397.85,2017-08-03,09:29:00
10393.9,2017-08-03,09:30:00
10385.75,2017-08-03,09:31:00
10389.4,2017-08-03,09:32:00
10391.0,2017-08-03,09:33:00
10387.5,2017-08-03,09:34:00
10386.15,2017-08-03,09:35:00
10390.2,2017-08-03,09:36:00
10392.6,2017-08-03,09:37:00
10391.15,2017-08-03,09:38:00
10388.85,2017-08-03,09:39:00
10392.1,2017-08-03,09:40:00
10393.05,2017-08-03,09:41:00
10393.05,2017-08-03,09:42:00
10387.1,2017-08-03,09:43:00
10388.35,2017-08-03,09:44:00
10386.8,2017-08-03,09:45:00
10391.85,2017-08-03,09:46:00
10390.85,2017-08-03,09:47:00
10391.7,2017-08-03,09:48:00
10394.4,2017-08-03,09:49:00
10394.9,2017-08-03,09:50:00
10397.55,2017-08-03,09:51:00
10394.5,2017-08-03,09:52:00
10390.3,2017-08-03,09:53:00
10389.7,2017-08-03,09:54:00
10389.7,2017-08-03,09:55:00
10390.8,2017-08-03,09:56:00
10389.55,2017-08-03,09:57:00
10386.5,2017-08-03,09:58:00
10377.0,2017-08-03,09:59:00
10375.45,2017-08-03,10:00:00
10374.7,2017-08-03,10:01:00
10376.6,2017-08-03,10:02:00
10375.7,2017-08-03,10:03:00
10375.15,2017-08-03,10:04:00
10377.2,2017-08-03,10:05:00
10377.5,2017-08-03,10:06:00
10371.65,2017-08-03,10:07:00
10368.45,2017-08-03,10:08:00
10363.6,2017-08-03,10:09:00
10368.6,2017-08-03,10:10:00
10370.25,2017-08-03,10:11:00
10372.3,2017-08-03,10:12:00
10369.85,2017-08-03,10:13:00
10368.1,2017-08-03,10:14:00
10348.6,2017-08-04,09:15:00
10353.75,2017-08-04,09:16:00
10348.0,2017-08-04,09:17:00
10347.4,2017-08-04,09:18:00
10340.05,2017-08-04,09:19:00
10332.45,2017-08-04,09:20:00
10334.85,2017-08-04,09:21:00
10338.15,2017-08-04,09:22:00
10341.5,2017-08-04,09:23:00
10344.05,2017-08-04,09:24:00
10344.95,2017-08-04,09:25:00
10349.1,2017-08-04,09:26:00
10350.05,2017-08-04,09:27:00
10355.35,2017-08-04,09:28:00
10353.45,2017-08-04,09:29:00
10358.4,2017-08-04,09:30:00
10360.65,2017-08-04,09:31:00
10362.5,2017-08-04,09:32:00
10360.75,2017-08-04,09:33:00
10359.9,2017-08-04,09:34:00
10351.2,2017-08-04,09:35:00
10349.05,2017-08-04,09:36:00
10356.8,2017-08-04,09:37:00
10353.65,2017-08-04,09:38:00
10349.95,2017-08-04,09:39:00
10347.7,2017-08-04,09:40:00
10358.5,2017-08-04,09:41:00
10364.2,2017-08-04,09:42:00
10363.95,2017-08-04,09:43:00
10364.25,2017-08-04,09:44:00
10365.2,2017-08-04,09:45:00
10368.7,2017-08-04,09:46:00
10367.15,2017-08-04,09:47:00
10365.5,2017-08-04,09:48:00
10367.0,2017-08-04,09:49:00
10366.45,2017-08-04,09:50:00
10362.75,2017-08-04,09:51:00
10362.15,2017-08-04,09:52:00
10359.7,2017-08-04,09:53:00
10359.7,2017-08-04,09:54:00
10361.9,2017-08-04,09:55:00
10363.3,2017-08-04,09:56:00
10363.35,2017-08-04,09:57:00
10364.35,2017-08-04,09:58:00
