,month,perc_dif,ticker
0,2020-08-26,2,ETR
1,2020-09-25,3,ETR
2,2020-10-26,4,ETR
3,2020-11-25,4,ETR
4,2020-12-28,2,ETR
0,2020-08-26,4,ETSY
1,2020-09-25,2,ETSY
2,2020-10-26,5,ETSY
3,2020-11-25,4,ETSY
4,2020-12-28,5,ETSY
0,2020-08-26,1,EVRG
1,2020-09-25,3,EVRG
2,2020-10-26,4,EVRG
3,2020-11-25,3,EVRG
4,2020-12-28,3,EVRG
0,2020-08-26,4,EW
1,2020-09-25,2,EW
2,2020-10-26,3,EW
3,2020-11-25,4,EW
4,2020-12-28,4,EW
0,2020-08-26,3,EXC
1,2020-09-25,2,EXC
2,2020-10-26,4,EXC
3,2020-11-25,3,EXC
4,2020-12-28,3,EXC
0,2020-08-26,4,EXPD
1,2020-09-25,4,EXPD
2,2020-10-26,4,EXPD
3,2020-11-25,2,EXPD
4,2020-12-28,4,EXPD
0,2020-08-26,4,EXPE
1,2020-09-25,3,EXPE
2,2020-10-26,3,EXPE
3,2020-11-25,5,EXPE
4,2020-12-28,4,EXPE
0,2020-08-26,4,EXR
1,2020-09-25,3,EXR
2,2020-10-26,4,EXR
3,2020-11-25,2,EXR
4,2020-12-28,4,EXR
0,2020-08-26,3,F
1,2020-09-25,2,F
2,2020-10-26,5,F
3,2020-11-25,4,F
4,2020-12-28,2,F
0,2020-08-26,3,FANG
1,2020-09-25,1,FANG
2,2020-10-26,2,FANG
3,2020-11-25,5,FANG
4,2020-12-28,4,FANG
0,2020-08-26,4,FAST
1,2020-09-25,2,FAST
2,2020-10-26,3,FAST
3,2020-11-25,4,FAST
4,2020-12-28,3,FAST
0,2020-08-26,5,FB
1,2020-09-25,2,FB
2,2020-10-26,4,FB
3,2020-11-25,3,FB
4,2020-12-28,3,FB
0,2020-08-26,4,FBHS
1,2020-09-25,3,FBHS
2,2020-10-26,3,FBHS
3,2020-11-25,4,FBHS
4,2020-12-28,3,FBHS
0,2020-08-26,4,FCX
1,2020-09-25,3,FCX
2,2020-10-26,4,FCX
3,2020-11-25,5,FCX
4,2020-12-28,4,FCX
0,2020-08-26,5,FDX
1,2020-09-25,4,FDX
2,2020-10-26,4,FDX
3,2020-11-25,4,FDX
4,2020-12-28,2,FDX
0,2020-08-26,2,FE
1,2020-09-25,3,FE
2,2020-10-26,4,FE
3,2020-11-25,2,FE
4,2020-12-28,4,FE
0,2020-08-26,2,FFIV
1,2020-09-25,2,FFIV
2,2020-10-26,4,FFIV
3,2020-11-25,5,FFIV
4,2020-12-28,4,FFIV
0,2020-08-26,4,FIS
1,2020-09-25,3,FIS
2,2020-10-26,2,FIS
3,2020-11-25,4,FIS
4,2020-12-28,2,FIS
0,2020-08-26,2,FISV
1,2020-09-25,4,FISV
2,2020-10-26,2,FISV
3,2020-11-25,4,FISV
4,2020-12-28,3,FISV
0,2020-08-26,4,FITB
1,2020-09-25,3,FITB
2,2020-10-26,4,FITB
3,2020-11-25,4,FITB
