Senator Name,Decision,Bill
CO Michael F. Bennet,Yea,7
TN Marsha Blackburn,Nay,7
CT Richard Blumenthal,Yea,7
MO Roy Blunt,Nay,7
NJ Cory A. Booker,Not Voting,7
AR John Boozman,Nay,7
IN Mike Braun,Nay,7
OH Sherrod Brown,Yea,7
NC Richard Burr,Nay,7
WA Maria Cantwell,Yea,7
WV Shelley Moore Capito,Nay,7
MD Benjamin L. Cardin,Yea,7
DE Thomas R. Carper,Yea,7
PA Robert P. Casey Jr.,Yea,7
LA Bill Cassidy,Nay,7
ME Susan M. Collins,Yea,7
DE Christopher A. Coons,Yea,7
TX John Cornyn,Nay,7
NV Catherine Cortez Masto,Yea,7
AR Tom Cotton,Nay,7
ND Kevin Cramer,Nay,7
ID Mike Crapo,Nay,7
TX Ted Cruz,Nay,7
MT Steve Daines,Nay,7
IL Tammy Duckworth,Yea,7
IL Richard J. Durbin,Yea,7
WY Michael B. Enzi,Nay,7
IA Joni Ernst,Nay,7
CA Dianne Feinstein,Yea,7
NE Deb Fischer,Nay,7
CO Cory Gardner,Nay,7
NY Kirsten E. Gillibrand,Yea,7
SC Lindsey Graham,Nay,7
IA Chuck Grassley,Nay,7
CA Kamala D. Harris,Not Voting,7
NH Margaret Wood Hassan,Yea,7
MO Josh Hawley,Nay,7
NM Martin Heinrich,Yea,7
HI Mazie K. Hirono,Yea,7
ND John Hoeven,Nay,7
MS Cindy Hyde-Smith,Nay,7
OK James M. Inhofe,Nay,7
GA Johnny Isakson,Not Voting,7
WI Ron Johnson,Nay,7
AL Doug Jones,Nay,7
VA Tim Kaine,Yea,7
LA John Kennedy,Nay,7
ME Angus S. King Jr.,Yea,7
MN Amy Klobuchar,Not Voting,7
OK James Lankford,Nay,7
VT Patrick J. Leahy,Yea,7
UT Mike Lee,Nay,7
WV Joe Manchin III,Nay,7
MA Edward J. Markey,Yea,7
KY Mitch McConnell,Nay,7
AZ Martha McSally,Nay,7
NJ Robert Menendez,Yea,7
OR Jeff Merkley,Yea,7
KS Jerry Moran,Nay,7
AK Lisa Murkowski,Nay,7
CT Christopher Murphy,Yea,7
WA Patty Murray,Yea,7
KY Rand Paul,Nay,7
GA David Perdue,Nay,7
MI Gary C. Peters,Yea,7
OH Rob Portman,Nay,7
RI Jack Reed,Yea,7
ID James E. Risch,Nay,7
KS Pat Roberts,Nay,7
UT Mitt Romney,Nay,7
NV Jacky Rosen,Yea,7
SD Mike Rounds,Nay,7
FL Marco Rubio,Nay,7
VT Bernard Sanders,Not Voting,7
NE Ben Sasse,Nay,7
HI Brian Schatz,Yea,7
NY Charles E. Schumer,Yea,7
FL Rick Scott,Nay,7
SC Tim Scott,Nay,7
NH Jeanne Shaheen,Yea,7
AL Richard C. Shelby,Nay,7
AZ Kyrsten Sinema,Nay,7
MN Tina Smith,Yea,7
MI Debbie Stabenow,Yea,7
AK Dan Sullivan,Nay,7
MT Jon Tester,Yea,7
SD John Thune,Nay,7
NC Thom Tillis,Nay,7
PA Patrick J. Toomey,Nay,7
NM Tom Udall,Yea,7
MD Chris Van Hollen,Yea,7
VA Mark R. Warner,Yea,7
MA Elizabeth Warren,Yea,7
RI Sheldon Whitehouse,Yea,7
MS Roger F. Wicker,Nay,7
OR Ron Wyden,Yea,7
IN Todd Young,Nay,7
TN Lamar Alexander,Yea,8
WI Tammy Baldwin,Nay,8
WY John Barrasso,Yea,8
CO Michael F. Bennet,Nay,8
TN Marsha Blackburn,Yea,8
CT Richard Blumenthal,Nay,8
MO Roy Blunt,Yea,8
NJ Cory A. Booker,Not Voting,8
AR John Boozman,Yea,8
IN Mike Braun,Yea,8
OH Sherrod Brown,Nay,8
NC Richard Burr,Not Voting,8
WA Maria Cantwell,Nay,8
WV Shelley Moore Capito,Yea,8
MD Benjamin L. Cardin,Nay,8
DE Thomas R. Carper,Nay,8
PA Robert P. Casey Jr.,Nay,8
